x0	x1	y0	y1
-1.029572	-1.029541	-1.720703	-1.720673
-1.029327	-1.029297	-1.720612	-1.720581
1.656342	1.656372	0.296967	0.296997
-1.023438	-1.023407	-1.718842	-1.718811
-1.023407	-1.023376	-1.718872	-1.718842
-1.031097	-1.031067	-1.721161	-1.721130
-1.031158	-1.031128	-1.721191	-1.721161
-1.030792	-1.030762	-1.721069	-1.721039
0.749908	0.749939	0.687439	0.687469
0.875641	0.875671	-1.000092	-1.000061
0.875214	0.875244	-1.000305	-1.000275
0.749786	0.749817	-0.437256	-0.437225
0.748962	0.748993	-0.436615	-0.436584
0.749695	0.749725	-0.435883	-0.435852
-1.134521	-1.134491	-1.749786	-1.749756
-1.134644	-1.134613	-1.749786	-1.749756
-1.134064	-1.134033	-1.749603	-1.749573
-1.133545	-1.133514	-1.749512	-1.749481
-1.133057	-1.133026	-1.749359	-1.749329
-1.133179	-1.133148	-1.749420	-1.749390
-1.128357	-1.128326	-1.749664	-1.749634
-1.128662	-1.128632	-1.749756	-1.749725
-1.127838	-1.127808	-1.749481	-1.749451
-1.128784	-1.128754	-1.748047	-1.748016
-1.127411	-1.127380	-1.747650	-1.747620
-1.127197	-1.127167	-1.747589	-1.747559
-1.125458	-1.125427	-1.748810	-1.748779
-1.126282	-1.126251	-1.749023	-1.748993
-1.126556	-1.126526	-1.747375	-1.747345
-1.126648	-1.126617	-1.747498	-1.747467
-1.126892	-1.126862	-1.747498	-1.747467
-1.126801	-1.126770	-1.747528	-1.747498
-1.125305	-1.125275	-1.747070	-1.747040
-1.132355	-1.132324	-1.749146	-1.749115
-1.132599	-1.132568	-1.749176	-1.749146
-1.131744	-1.131714	-1.748993	-1.748962
-1.130188	-1.130157	-1.748505	-1.748474
-1.130157	-1.130127	-1.748444	-1.748413
-1.130585	-1.130554	-1.748657	-1.748627
-1.129333	-1.129303	-1.749908	-1.749878
1.006439	1.006470	-0.268311	-0.268280
1.006683	1.006714	-0.268066	-0.268036
1.005768	1.005798	-0.269409	-0.269379
1.007141	1.007172	-0.267365	-0.267334
1.006958	1.006989	-0.267548	-0.267517
1.003601	1.003632	-0.272522	-0.272491
1.003845	1.003876	-0.272156	-0.272125
1.004883	1.004913	-0.270752	-0.270721
1.004517	1.004547	-0.271179	-0.271149
1.004608	1.004639	-0.271118	-0.271088
1.004303	1.004333	-0.271484	-0.271454
1.004639	1.004669	-0.270966	-0.270935
1.005127	1.005157	-0.270386	-0.270355
1.000458	1.000488	-0.277100	-0.277069
1.000916	1.000946	-0.276459	-0.276428
1.001678	1.001709	-0.275452	-0.275421
1.001587	1.001617	-0.275482	-0.275452
1.001556	1.001587	-0.275513	-0.275482
1.001434	1.001465	-0.275696	-0.275665
1.001038	1.001068	-0.276276	-0.276245
1.001831	1.001862	-0.275116	-0.275085
1.001617	1.001648	-0.275391	-0.275360
1.001801	1.001831	-0.275269	-0.275238
1.002777	1.002808	-0.273712	-0.273682
1.008148	1.008179	-0.265717	-0.265686
1.008148	1.008179	-0.265869	-0.265839
1.007874	1.007904	-0.266144	-0.266113
1.010559	1.010590	-0.262238	-0.262207
1.010498	1.010529	-0.262177	-0.262146
1.009827	1.009857	-0.263214	-0.263184
1.009583	1.009613	-0.263702	-0.263672
1.008331	1.008362	-0.265472	-0.265442
1.008728	1.008759	-0.264984	-0.264954
1.008667	1.008698	-0.264954	-0.264923
1.012970	1.013000	-0.258423	-0.258392
1.013000	1.013031	-0.258484	-0.258453
1.013397	1.013428	-0.257904	-0.257874
1.010986	1.011017	-0.261475	-0.261444
1.011200	1.011230	-0.261230	-0.261200
