x0	x1	y0	y1
0.647461	0.648438	-1.113281	-1.112305
0.646484	0.647461	-1.113281	-1.112305
0.642578	0.643555	-1.115234	-1.114258
0.648438	0.649414	-1.112305	-1.111328
0.680664	0.681641	-1.096680	-1.095703
0.682617	0.683594	-1.096680	-1.095703
0.671875	0.672852	-1.101562	-1.100586
0.671875	0.672852	-1.100586	-1.099609
0.678711	0.679688	-1.096680	-1.095703
0.658203	0.659180	-1.106445	-1.105469
0.659180	0.660156	-1.106445	-1.105469
0.663086	0.664062	-1.105469	-1.104492
0.678711	0.679688	-1.085938	-1.084961
0.680664	0.681641	-1.084961	-1.083984
0.681641	0.682617	-1.083984	-1.083008
0.683594	0.684570	-1.083008	-1.082031
0.662109	0.663086	-1.093750	-1.092773
0.705078	0.706055	-1.085938	-1.084961
0.707031	0.708008	-1.084961	-1.083984
0.703125	0.704102	-1.086914	-1.085938
0.715820	0.716797	-1.080078	-1.079102
0.713867	0.714844	-1.080078	-1.079102
0.697266	0.698242	-1.077148	-1.076172
0.695312	0.696289	-1.077148	-1.076172
0.701172	0.702148	-1.075195	-1.074219
0.699219	0.700195	-1.075195	-1.074219
0.717773	0.718750	-1.066406	-1.065430
0.708984	0.709961	-1.071289	-1.070312
0.700195	0.701172	-1.087891	-1.086914
0.699219	0.700195	-1.087891	-1.086914
0.692383	0.693359	-1.079102	-1.078125
0.691406	0.692383	-1.079102	-1.078125
0.726562	0.727539	-1.074219	-1.073242
0.733398	0.734375	-1.072266	-1.071289
0.718750	0.719727	-1.078125	-1.077148
0.720703	0.721680	-1.065430	-1.064453
0.721680	0.722656	-1.064453	-1.063477
0.723633	0.724609	-1.064453	-1.063477
0.740234	0.741211	-1.068359	-1.067383
0.747070	0.748047	-1.064453	-1.063477
0.742188	0.743164	-1.054688	-1.053711
0.738281	0.739258	-1.056641	-1.055664
0.741211	0.742188	-1.054688	-1.053711
0.729492	0.730469	-1.061523	-1.060547
0.733398	0.734375	-1.058594	-1.057617
0.814453	0.815430	-1.032227	-1.031250
0.813477	0.814453	-1.017578	-1.016602
0.815430	0.816406	-1.017578	-1.016602
0.813477	0.814453	-1.018555	-1.017578
0.823242	0.824219	-1.027344	-1.026367
0.817383	0.818359	-1.030273	-1.029297
0.841797	0.842773	-1.017578	-1.016602
0.840820	0.841797	-1.018555	-1.017578
0.833008	0.833984	-1.022461	-1.021484
0.817383	0.818359	-1.015625	-1.014648
0.820312	0.821289	-1.014648	-1.013672
0.827148	0.828125	-1.011719	-1.010742
0.824219	0.825195	-1.013672	-1.012695
0.842773	0.843750	-1.002930	-1.001953
0.836914	0.837891	-1.005859	-1.004883
0.839844	0.840820	-1.004883	-1.003906
0.845703	0.846680	-1.000977	-1.000000
0.844727	0.845703	-1.000977	-1.000000
0.855469	0.856445	-1.010742	-1.009766
0.856445	0.857422	-1.009766	-1.008789
0.868164	0.869141	-1.002930	-1.001953
0.798828	0.799805	-1.040039	-1.039062
0.801758	0.802734	-1.038086	-1.037109
0.800781	0.801758	-1.038086	-1.037109
0.804688	0.805664	-1.037109	-1.036133
0.782227	0.783203	-1.047852	-1.046875
0.781250	0.782227	-1.047852	-1.046875
0.782227	0.783203	-1.035156	-1.034180
0.782227	0.783203	-1.034180	-1.033203
0.811523	0.812500	-1.019531	-1.018555
0.804688	0.805664	-1.023438	-1.022461
0.803711	0.804688	-1.022461	-1.021484
0.766602	0.767578	-1.041992	-1.041016
0.772461	0.773438	-1.040039	-1.039062
0.774414	0.775391	-1.039062	-1.038086
0.776367	0.777344	-1.038086	-1.037109
0.779297	0.780273	-1.035156	-1.034180
0.763672	0.764648	-1.043945	-1.042969
0.757812	0.758789	-1.045898	-1.044922
0.758789	0.759766	-1.045898	-1.044922
0.759766	0.760742	-1.044922	-1.043945
0.773438	0.774414	-1.052734	-1.051758
0.774414	0.775391	-1.050781	-1.049805
0.768555	0.769531	-1.053711	-1.052734
0.769531	0.770508	-1.052734	-1.051758
0.753906	0.754883	-1.060547	-1.059570
0.754883	0.755859	-1.060547	-1.059570
0.751953	0.752930	-1.061523	-1.060547
0.762695	0.763672	-1.057617	-1.056641
0.750000	0.750977	-1.050781	-1.049805
-0.772461	-0.771484	1.515625	1.516602
-0.773438	-0.772461	1.515625	1.516602
-0.771484	-0.770508	1.515625	1.516602
-0.771484	-0.770508	1.518555	1.519531
-0.774414	-0.773438	1.519531	1.520508
-0.776367	-0.775391	1.518555	1.519531
-0.753906	-0.752930	1.509766	1.510742
-0.751953	-0.750977	1.509766	1.510742
