x0	x1	y0	y1
1.085938	1.089844	-0.117188	-0.113281
0.867188	0.871094	-0.437500	-0.433594
-0.941406	-0.937500	1.558594	1.562500
1.054688	1.058594	-0.187500	-0.183594
0.398438	0.402344	-1.214844	-1.210938
0.402344	0.406250	-1.214844	-1.210938
0.394531	0.398438	-1.214844	-1.210938
0.390625	0.394531	-1.218750	-1.214844
0.386719	0.390625	-1.218750	-1.214844
0.414062	0.417969	-1.207031	-1.203125
0.417969	0.421875	-1.207031	-1.203125
0.410156	0.414062	-1.218750	-1.214844
0.406250	0.410156	-1.218750	-1.214844
0.410156	0.414062	-1.210938	-1.207031
0.406250	0.410156	-1.210938	-1.207031
0.417969	0.421875	-1.214844	-1.210938
0.421875	0.425781	-1.214844	-1.210938
0.433594	0.437500	-1.207031	-1.203125
0.429688	0.433594	-1.210938	-1.207031
0.425781	0.429688	-1.210938	-1.207031
0.421875	0.425781	-1.203125	-1.199219
0.425781	0.429688	-1.203125	-1.199219
0.433594	0.437500	-1.199219	-1.195312
0.394531	0.398438	-1.226562	-1.222656
0.390625	0.394531	-1.226562	-1.222656
0.398438	0.402344	-1.226562	-1.222656
0.402344	0.406250	-1.222656	-1.218750
0.375000	0.378906	-1.234375	-1.230469
0.378906	0.382812	-1.234375	-1.230469
1.011719	1.015625	-0.257812	-0.253906
1.011719	1.015625	-0.261719	-0.257812
1.078125	1.082031	-0.136719	-0.132812
1.078125	1.082031	-0.132812	-0.128906
1.066406	1.070312	-0.156250	-0.152344
1.062500	1.066406	-0.167969	-0.164062
1.066406	1.070312	-0.164062	-0.160156
1.046875	1.050781	-0.203125	-0.199219
1.046875	1.050781	-0.199219	-0.195312
1.050781	1.054688	-0.195312	-0.191406
1.042969	1.046875	-0.207031	-0.203125
1.039062	1.042969	-0.210938	-0.207031
1.039062	1.042969	-0.214844	-0.210938
1.023438	1.027344	-0.242188	-0.238281
1.019531	1.023438	-0.246094	-0.242188
0.597656	0.601562	-1.125000	-1.121094
0.601562	0.605469	-1.125000	-1.121094
0.601562	0.605469	-1.121094	-1.117188
0.609375	0.613281	-1.121094	-1.117188
0.617188	0.621094	-1.117188	-1.113281
0.621094	0.625000	-1.125000	-1.121094
0.597656	0.601562	-1.136719	-1.132812
0.593750	0.597656	-1.136719	-1.132812
0.605469	0.609375	-1.132812	-1.128906
0.593750	0.597656	-1.128906	-1.125000
0.609375	0.613281	-1.128906	-1.125000
0.617188	0.621094	-1.128906	-1.125000
0.582031	0.585938	-1.132812	-1.128906
0.578125	0.582031	-1.132812	-1.128906
0.589844	0.593750	-1.136719	-1.132812
0.589844	0.593750	-1.140625	-1.136719
0.585938	0.589844	-1.132812	-1.128906
0.566406	0.570312	-1.140625	-1.136719
0.562500	0.566406	-1.140625	-1.136719
0.574219	0.578125	-1.136719	-1.132812
0.578125	0.582031	-1.144531	-1.140625
0.582031	0.585938	-1.144531	-1.140625
0.503906	0.507812	-1.167969	-1.164062
0.500000	0.503906	-1.171875	-1.167969
0.507812	0.511719	-1.167969	-1.164062
0.511719	0.515625	-1.164062	-1.160156
0.515625	0.519531	-1.164062	-1.160156
0.519531	0.523438	-1.160156	-1.156250
0.515625	0.519531	-1.171875	-1.167969
0.523438	0.527344	-1.167969	-1.164062
0.527344	0.531250	-1.167969	-1.164062
0.523438	0.527344	-1.171875	-1.167969
0.500000	0.503906	-1.179688	-1.175781
0.507812	0.511719	-1.175781	-1.171875
0.531250	0.535156	-1.167969	-1.164062
0.531250	0.535156	-1.164062	-1.160156
0.535156	0.539062	-1.164062	-1.160156
0.539062	0.542969	-1.152344	-1.148438
0.531250	0.535156	-1.156250	-1.152344
0.550781	0.554688	-1.148438	-1.144531
0.558594	0.562500	-1.144531	-1.140625
0.554688	0.558594	-1.156250	-1.152344
0.648438	0.652344	-1.101562	-1.097656
0.652344	0.656250	-1.101562	-1.097656
0.644531	0.648438	-1.101562	-1.097656
0.640625	0.644531	-1.105469	-1.101562
0.644531	0.648438	-1.105469	-1.101562
0.652344	0.656250	-1.109375	-1.105469
0.625000	0.628906	-1.125000	-1.121094
0.628906	0.632812	-1.121094	-1.117188
0.632812	0.636719	-1.121094	-1.117188
0.625000	0.628906	-1.113281	-1.109375
0.628906	0.632812	-1.109375	-1.105469
0.644531	0.648438	-1.113281	-1.109375
0.640625	0.644531	-1.117188	-1.113281
0.648438	0.652344	-1.113281	-1.109375
0.679688	0.683594	-1.097656	-1.093750
0.671875	0.675781	-1.101562	-1.097656
0.675781	0.679688	-1.097656	-1.093750
0.656250	0.660156	-1.109375	-1.105469
0.660156	0.664062	-1.105469	-1.101562
0.675781	0.679688	-1.085938	-1.082031
0.679688	0.683594	-1.085938	-1.082031
0.683594	0.687500	-1.085938	-1.082031
0.660156	0.664062	-1.093750	-1.089844
0.703125	0.707031	-1.085938	-1.082031
0.707031	0.710938	-1.085938	-1.082031
0.703125	0.707031	-1.089844	-1.085938
0.714844	0.718750	-1.082031	-1.078125
