x0	x1	y0	y1
1.085938	1.087891	-0.113281	-0.111328
1.085938	1.087891	-0.115234	-0.113281
-0.941406	-0.939453	1.560547	1.562500
1.054688	1.056641	-0.185547	-0.183594
0.400391	0.402344	-1.212891	-1.210938
0.398438	0.400391	-1.214844	-1.212891
0.402344	0.404297	-1.212891	-1.210938
0.396484	0.398438	-1.214844	-1.212891
0.392578	0.394531	-1.216797	-1.214844
0.390625	0.392578	-1.216797	-1.214844
0.390625	0.392578	-1.218750	-1.216797
0.386719	0.388672	-1.218750	-1.216797
0.416016	0.417969	-1.207031	-1.205078
0.414062	0.416016	-1.207031	-1.205078
0.417969	0.419922	-1.207031	-1.205078
0.419922	0.421875	-1.205078	-1.203125
0.410156	0.412109	-1.218750	-1.216797
0.408203	0.410156	-1.218750	-1.216797
0.410156	0.412109	-1.208984	-1.207031
0.412109	0.414062	-1.208984	-1.207031
0.408203	0.410156	-1.210938	-1.208984
0.417969	0.419922	-1.214844	-1.212891
0.421875	0.423828	-1.214844	-1.212891
0.421875	0.423828	-1.212891	-1.210938
0.435547	0.437500	-1.207031	-1.205078
0.431641	0.433594	-1.208984	-1.207031
0.429688	0.431641	-1.208984	-1.207031
0.427734	0.429688	-1.208984	-1.207031
0.425781	0.427734	-1.210938	-1.208984
0.427734	0.429688	-1.210938	-1.208984
0.423828	0.425781	-1.203125	-1.201172
0.425781	0.427734	-1.203125	-1.201172
0.435547	0.437500	-1.199219	-1.197266
0.394531	0.396484	-1.224609	-1.222656
0.396484	0.398438	-1.224609	-1.222656
0.392578	0.394531	-1.226562	-1.224609
0.398438	0.400391	-1.224609	-1.222656
0.402344	0.404297	-1.222656	-1.220703
0.376953	0.378906	-1.232422	-1.230469
0.378906	0.380859	-1.232422	-1.230469
1.011719	1.013672	-0.257812	-0.255859
1.013672	1.015625	-0.255859	-0.253906
1.011719	1.013672	-0.259766	-0.257812
1.078125	1.080078	-0.134766	-0.132812
1.080078	1.082031	-0.130859	-0.128906
1.078125	1.080078	-0.132812	-0.130859
1.068359	1.070312	-0.156250	-0.154297
1.064453	1.066406	-0.166016	-0.164062
1.064453	1.066406	-0.167969	-0.166016
1.066406	1.068359	-0.162109	-0.160156
1.046875	1.048828	-0.201172	-0.199219
1.048828	1.050781	-0.197266	-0.195312
1.050781	1.052734	-0.193359	-0.191406
1.044922	1.046875	-0.205078	-0.203125
1.041016	1.042969	-0.210938	-0.208984
1.041016	1.042969	-0.212891	-0.210938
1.025391	1.027344	-0.240234	-0.238281
1.023438	1.025391	-0.242188	-0.240234
1.021484	1.023438	-0.246094	-0.244141
1.021484	1.023438	-0.244141	-0.242188
0.599609	0.601562	-1.123047	-1.121094
0.601562	0.603516	-1.123047	-1.121094
0.603516	0.605469	-1.121094	-1.119141
0.609375	0.611328	-1.119141	-1.117188
0.611328	0.613281	-1.119141	-1.117188
0.619141	0.621094	-1.115234	-1.113281
0.617188	0.619141	-1.115234	-1.113281
0.621094	0.623047	-1.125000	-1.123047
0.597656	0.599609	-1.134766	-1.132812
0.599609	0.601562	-1.134766	-1.132812
0.593750	0.595703	-1.136719	-1.134766
0.605469	0.607422	-1.132812	-1.130859
0.593750	0.595703	-1.126953	-1.125000
0.611328	0.613281	-1.128906	-1.126953
0.617188	0.619141	-1.126953	-1.125000
0.583984	0.585938	-1.130859	-1.128906
0.582031	0.583984	-1.132812	-1.130859
0.578125	0.580078	-1.132812	-1.130859
0.591797	0.593750	-1.136719	-1.134766
0.591797	0.593750	-1.138672	-1.136719
0.585938	0.587891	-1.130859	-1.128906
0.566406	0.568359	-1.138672	-1.136719
0.564453	0.566406	-1.138672	-1.136719
0.564453	0.566406	-1.140625	-1.138672
0.562500	0.564453	-1.140625	-1.138672
0.574219	0.576172	-1.134766	-1.132812
0.578125	0.580078	-1.144531	-1.142578
0.580078	0.582031	-1.142578	-1.140625
0.583984	0.585938	-1.142578	-1.140625
0.505859	0.507812	-1.166016	-1.164062
0.501953	0.503906	-1.169922	-1.167969
0.507812	0.509766	-1.166016	-1.164062
0.513672	0.515625	-1.164062	-1.162109
0.515625	0.517578	-1.162109	-1.160156
0.521484	0.523438	-1.160156	-1.158203
0.517578	0.519531	-1.171875	-1.169922
0.515625	0.517578	-1.171875	-1.169922
0.525391	0.527344	-1.167969	-1.166016
0.529297	0.531250	-1.167969	-1.166016
0.527344	0.529297	-1.167969	-1.166016
0.523438	0.525391	-1.169922	-1.167969
0.501953	0.503906	-1.177734	-1.175781
0.509766	0.511719	-1.175781	-1.173828
0.531250	0.533203	-1.166016	-1.164062
0.533203	0.535156	-1.164062	-1.162109
0.537109	0.539062	-1.162109	-1.160156
0.535156	0.537109	-1.164062	-1.162109
0.539062	0.541016	-1.152344	-1.150391
0.541016	0.542969	-1.150391	-1.148438
0.533203	0.535156	-1.154297	-1.152344
0.550781	0.552734	-1.146484	-1.144531
0.558594	0.560547	-1.142578	-1.140625
0.556641	0.558594	-1.154297	-1.152344
0.650391	0.652344	-1.101562	-1.099609
0.650391	0.652344	-1.099609	-1.097656
0.652344	0.654297	-1.099609	-1.097656
0.644531	0.646484	-1.101562	-1.099609
0.640625	0.642578	-1.105469	-1.103516
0.642578	0.644531	-1.103516	-1.101562
0.644531	0.646484	-1.103516	-1.101562
0.652344	0.654297	-1.109375	-1.107422
0.626953	0.628906	-1.123047	-1.121094
0.628906	0.630859	-1.121094	-1.119141
0.632812	0.634766	-1.119141	-1.117188
0.626953	0.628906	-1.111328	-1.109375
0.625000	0.626953	-1.113281	-1.111328
0.628906	0.630859	-1.109375	-1.107422
0.646484	0.648438	-1.113281	-1.111328
0.642578	0.644531	-1.115234	-1.113281
0.648438	0.650391	-1.113281	-1.111328
0.679688	0.681641	-1.097656	-1.095703
